season,team,coach_name
2004,Eastern Washington,Ray Giacoletti
2004,Maine,John Giannini
2004,Virginia,Pete Gillen
2004,Florida A&M,Mike Gillespie
2004,UTEP,Billy Gillispie
2004,Manhattan,Bobby Gonzalez
2004,Alabama,Mark Gottfried
2004,Boise State,Greg Graham
2004,Southern,Michael Grant
2004,Southern Miss,James Green
2004,Florida Atlantic,Sidney Green
2004,FDU,Tom Green
2004,Virginia Tech,Seth Greenberg
2004,Dayton,Brian Gregory
2004,La Salle,Billy Hahn
2004,Florida State,Leonard Hamilton
2004,Rider,Don Harnum
2004,Hartford,Larry Harrison
2004,Western Michigan,Steve Hawkins
2004,Arkansas,Stan Heath
2004,Delaware,David Henderson
2004,New Mexico State,Lou Henson*
2004,East Carolina,Bill Herrion
2004,College of Charleston,Tom Herrion
2004,Georgia Tech,Paul Hewitt
2004,Loyola (MD),Scott Hicks
2004,Missouri State,Barry Hinson
2004,Akron,Dan Hipsher
2004,George Washington,Karl Hobbs
2004,Texas-Rio Grande Valley,Bob Hoffman
2004,San Diego,Brad Holland
2004,Arkansas-Pine Bluff,Van Holt
2004,Portland,Michael Holton
2004,Western Kentucky,Darrin Horn
2004,UCLA,Ben Howland
2004,Cincinnati,Bob Huggins
2004,Towson,Michael Hunt
2004,IU Indianapolis,Ron Hunter
2004,Michigan State,Tom Izzo
2004,Delaware State,Greg Jackson
2004,St. John's (NY),Mike Jarvis
2004,Sacramento State,Jerome Jenkins
2004,Marshall,Ron Jirsa
2004,Oregon State,Jay John
2004,Centenary (LA),Kevin Johnson
2004,San Jose State,Phil Johnson
2004,Nevada,Trent Johnson
2004,Saint Francis (PA),Bobby Jones
2004,Yale,James Jones
2004,American,Jeff Jones
2004,Columbia,Joe Jones
2004,North Texas,Johnny Jones
2004,Chicago State,Kevin Jones
2004,Toledo,Stan Joplin
2004,Northern Illinois,Rob Judson
2004,Oakland,Greg Kampe
2004,Stephen F. Austin,Danny Kaspar
2004,Purdue,Gene Keady
2004,Southeastern Louisiana,Billy Kennedy
2004,Montana,Pat Kennedy
2004,Oregon,Ernie Kent
2004,Texas Tech,Bob Knight
2004,Green Bay,Tod Kowalczyk
2004,Duke,Mike Krzyzewski
2004,Jacksonville State,Mike LaPlante
2004,Campbell,Robbie Laing
2004,Siena,Rob Lanier
2004,UMass,Steve Lappas
2004,George Mason,Jim Larranaga
2004,Colorado State,Dale Layer
2004,Chattanooga,Jeff Lebo
2004,Saint Peter's,Bob Leckie
2004,DePaul,Dave Leitao
2004,Bradley,Jim Les
2004,Butler,Todd Lickliter
2004,Austin Peay,Dave Loos
2004,Fresno State,Ray Lopes
2004,High Point,Bart Lundy
2004,Charlotte,Bobby Lutz
2004,Canisius,Mike MacDonald
2004,Stony Brook,Nick Macarchuk
2004,Morehead State,Kyle Macy
2004,Troy,Don Maestri
2004,Marist,Dave Magarity
2004,Utah,Rick Majerus
2004,Sam Houston,Bob Marlin
2004,Florida International,Donnie Marsh*
2004,Winthrop,Gregg Marshall
2004,Saint Joseph's,Phil Martelli
2004,UC Riverside,John Masi
2004,San Francisco,Philip Mathews
2004,Xavier,Thad Matta
